slug,category,title,description,prompt
scholarship,Budget,Scholarships for Language School Students,Guide to finding and applying for scholarships in Japan.,"Detail major scholarships available to language school students. Cover MEXT, JASSO, and private/school-specific scholarships. Explain application periods and general eligibility."
coe-denial,Visa,My COE was Denied: What to Do Next?,Understanding COE denial reasons and how to re-apply.,"Explain common reasons for COE (Certificate of Eligibility) denial, such as financial proof issues or application inconsistencies. Provide a step-by-step guide on how to prepare for a re-application."
packing-tech,Preparation,Tech Essentials for Studying in Japan,"Laptops, adapters, and useful apps to bring.","List essential tech gear for students in Japan. Cover laptop recommendations, power adapters/voltage, portable Wi-Fi vs. SIM, and must-have apps for translation and navigation."
bank-comparison,Settlement,Choosing a Bank in Japan: Yucho vs Megabanks,"A comparison of Japan Post Bank, MUFG, SMBC, and Mizuho.","Compare opening an account at Japan Post Bank (Yucho) versus major banks (MUFG, SMBC, Mizuho). Discuss ease of opening for foreigners, ATM fees, and online banking services."
culture-shock,Culture,Top 10 Culture Shocks for Students in Japan,From trash separation to 'honne' and 'tatemae'.,"List and explain the top 10 culture shocks new students face in Japan. Include topics like complex trash sorting, honne/tatemae communication, train etiquette, and the concept of 'senpai-kohai'."
transport-ic,Settlement,Suica vs PASMO: Japan's IC Cards Explained,How to get and use rechargeable transport cards.,"Explain what IC cards (Suica, PASMO, ICOCA) are and how to get one upon arrival. Detail how to charge them and use them for trains, buses, and at convenience stores."
rent-guarantor,Housing,The Guarantor System for Renting in Japan,What is a guarantor company and how to use it.,"Explain the 'hoshonin' (guarantor) system required for renting apartments in Japan. Detail what a guarantor company ('hoshou-gaisha') is, the associated fees, and the application process."
career-path,Selection,Language School to University vs. Vocational School,Choosing the right path after language studies.,"Compare the two main paths after language school: entering a university ('daigaku') vs. a vocational school ('senmon gakko'). Discuss requirements, tuition, and career outcomes for each."
sim-card-guide,Settlement,Best SIM Card & Mobile Plans for Students,"Comparing major carriers, sub-brands, and MVNOs.","Provide a detailed guide to mobile phone plans in Japan for students. Compare major carriers (Docomo, au, Softbank), their sub-brands (ahamo, povo), and MVNOs (Rakuten Mobile, IIJmio). Use a table to compare price, data, and ease of application."
remittance,Budget,Sending Money to Japan: Best Methods & Fees,How to transfer tuition and living funds from abroad.,"Explain the best methods for sending money to a Japanese bank account. Compare international bank transfers (SWIFT), Wise (formerly TransferWise), and other remittance services. Discuss fees, exchange rates, and transfer times."
bicycle-rules,Culture,Bicycle Rules & Registration in Japan,"Guide to buying, registering, and legally riding a bike.","Explain the process of buying and registering a bicycle in Japan ('bohan toroku'). Detail important cycling rules, such as riding on the left, using lights at night, and parking regulations."
conbini-hacks,Culture,Mastering the Konbini: A Student's Guide,From cheap meals to paying bills and printing documents.,"Write a guide on how to fully utilize Japanese convenience stores (konbini). Cover buying cheap and healthy meals, paying utility bills, using the multi-copy machine for printing/scanning, and withdrawing cash from ATMs."
eju-subjects,Exam,Deep Dive into EJU Subjects for University,"Strategies for Japan and the World, Science, and Math.","Provide a deep dive into the EJU (Examination for Japanese University Admission) subjects. Detail the scope of 'Japan and the World', 'Science' (Physics, Chemistry, Biology), and 'Mathematics' (Course 1 & 2). Offer study tips for each."
jlpt-levels,Exam,JLPT Levels Explained: N5 to N1,What each level means for daily life and career.,"Explain the five JLPT levels (N5 to N1) in practical terms. For each level, describe the corresponding ability in daily conversation, understanding TV shows, and its usefulness for part-time jobs or full-time employment."
temp-jobs,Part-time,'Haken' & 'Tanto-Baito': Short-Term & Event Jobs,"How to find flexible, high-paying temporary jobs.","Explain short-term temporary jobs in Japan. Describe 'haken' (dispatch) agencies and 'tanpatsu baito' (one-off jobs). List examples like event staff, warehouse work, or translation, and how to find them."
medical-guide,Health,Going to a Clinic or Hospital in Japan,What to bring and what to say (with phrases).,"Provide a step-by-step guide for visiting a clinic ('kurinikku') in Japan. Explain what to bring (Residence Card, NHI card), the process of reception and waiting, and provide useful Japanese phrases for describing common symptoms."
ward-office,Settlement,Navigating Your Local Ward Office ('Kuyakusho'),A guide to the services available for residents.,"Explain the functions of a Japanese ward/city office ('kuyakusho'/'shiyakusho'). Detail key procedures for students, such as resident registration, NHI application, and pension exemption forms."
trash-sorting,Culture,The Ultimate Guide to Trash Sorting in Japan,"Demystifying burnable, non-burnable, and recyclables.","Create a detailed guide to sorting trash in Japan. Use a table to explain common categories: Burnable ('moeru gomi'), Non-burnable ('moenai gomi'), Recyclables (PET bottles, cans, paper). Explain how to find the local collection schedule."
job-hunting,Career,'Shukatsu': The Japanese Job-Hunting Process,"Understanding entry sheets, SPI tests, and group interviews.","Explain the unique Japanese job-hunting process called 'shukatsu'. Detail the timeline for new graduates, the concept of an Entry Sheet (ES), the SPI aptitude test, and the multiple rounds of interviews including group discussions."
resume-jp,Career,Writing a Japanese Resume ('Rirekisho'),Guide to the standard format and key sections.,"Provide a guide on how to write a Japanese resume ('rirekisho'). Explain the standard format, key sections (personal info, education, work history, skills), and how to properly attach a photo. Include tips on what to write for 'shikaku' (qualifications) and 'jiko PR' (self-promotion)."
interview-etiquette,Career,Japanese Job Interview Etiquette 101,From bowing to answering common questions.,"Detail the specific etiquette for job interviews in Japan. Cover dress code (the 'recruit suit'), the correct way to enter and leave the room, bowing, and how to answer common questions like 'shibo doki' (reason for applying)."
tokyo-neighborhoods,Region,Student Guide to Tokyo Neighborhoods,Shinjuku vs. Shibuya vs. Ikebukuro vs. Kichijoji.,"Compare popular Tokyo neighborhoods for students to live in. Use a table to compare Shinjuku, Shibuya, Ikebukuro, and Kichijoji based on rent, atmosphere, commute convenience, and part-time job availability."
osaka-neighborhoods,Region,Where to Live in Osaka: Umeda vs. Namba,A student's guide to Osaka's major hubs.,"Compare living in Osaka's two major centers: Kita (Umeda) and Minami (Namba/Shinsaibashi). Discuss rent prices, entertainment options, school accessibility, and the general vibe of each area."
hokkaido-fukuoka,Region,Beyond the Mainland: Studying in Hokkaido or Fukuoka,The pros and cons of studying in Japan's northern and southern hubs.,"Compare the experience of studying in Sapporo (Hokkaido) versus Fukuoka. Discuss climate, cost of living, local culture and food, and opportunities for travel and part-time work."
yucho-bank-deepdive,Settlement,How to Open a Yucho Ginko (JP Post Bank) Account,The most foreigner-friendly bank option explained.,"Provide a step-by-step guide specifically for opening an account at Yucho Ginko (Japan Post Bank). Detail the required documents (Residence Card, student ID, hanko), the application form, and how to receive your cash card and passbook."
my-number-card,Settlement,What is the 'My Number' Card and Do I Need It?,Explaining Japan's social security and tax ID system.,"Explain the 'My Number' system for foreign residents. Describe what the notification card and the optional plastic ID card are used for, and clarify when students might need to present their My Number."
pension-exemption,Settlement,Student Pension Exemption: A Must-Do at City Hall,How to apply and avoid paying pension premiums.,Explain the National Pension System and the mandatory 'Special Payment System for Students'. Provide a clear guide on how to apply for the student pension contribution postponement/exemption at the local city/ward office to avoid paying premiums.
apartment-initial-costs,Housing,'Key Money' & More: Decoding Japanese Apartment Initial Costs,"Explaining reikin, shikikin, and other upfront fees.","Break down the high initial costs of renting an apartment in Japan. Use a table to explain each fee: 'reikin' (key money), 'shikikin' (security deposit), agent fee, guarantor fee, and first month's rent. Provide a sample calculation."
utilities-setup,Housing,"How to Set Up Electricity, Gas, and Water in Japan",A guide to contacting utility companies.,"Provide a practical guide on how to set up essential utilities (electricity, gas, water) for a new apartment. Explain how to find the contact information for local providers and include basic Japanese phrases for making the application by phone or online."
internet-setup,Housing,Getting Internet in Japan: Fiber vs. Pocket Wi-Fi,Choosing the right internet connection for your apartment.,"Compare the main options for home internet in Japan: 'hikari' (fiber optic) and pocket Wi-Fi. Discuss pros and cons in terms of speed, cost, data limits, and installation process for each."
furniture-sourcing,Housing,Furnishing Your Apartment on a Student Budget,"Guide to Nitori, Muji, and second-hand 'recycle shops'.","Provide tips for furnishing an apartment cheaply in Japan. Recommend stores like Nitori and Muji for affordable new furniture, and explain how to find and use 'recycle shops' (second-hand stores) for used appliances and furniture."
train-pass,Budget,Saving on Travel: The 'Teikiken' (Commuter Pass),How student commuter passes can save you money.,Explain what a 'teikiken' (commuter pass) is and how students can get a discounted version. Detail the process of applying for one at the train station ticket office with a student ID and school certificate. Calculate potential savings.
shinkansen-deals,Budget,Budget Travel: Riding the Shinkansen for Less,Tips and discount tickets for exploring Japan.,Provide a guide for students on how to travel long distances in Japan affordably. Compare the Shinkansen (bullet train) with highway buses ('kousoku basu'). Explain discount ticket options like 'Platt Kodama' or booking in advance.
100-yen-stores,Budget,100-Yen Store Essentials for Student Life,"How to maximize value at Daiso, Seria, and Can Do.","List the most useful items students can buy at 100-yen shops (Daiso, Seria, etc.) to set up their new life. Include kitchenware, cleaning supplies, stationery, and small storage solutions."
supermarket-discounts,Budget,'Hangaku' Hunting: How to Buy Food for Half-Price,The art of shopping at supermarkets after 7 PM.,"Explain the culture of evening discounts at Japanese supermarkets. Describe what 'hangaku' (half-price) and 'waribiki' (discount) stickers look like and advise on the best times to go shopping to get discounted bento, sushi, and other perishable items."
academic-calendar,Culture,The Japanese Academic Year: April Start Explained,Understanding the spring-start school system.,"Explain the Japanese academic calendar, which starts in April and ends in March. Detail the typical semester structure (first semester: April-July, second semester: September-February) and the long summer and spring vacations."
golden-week,Culture,Navigating Golden Week and Other National Holidays,What to expect during Japan's major holiday seasons.,"Provide a guide to Japan's major national holiday periods, especially Golden Week (late April/early May) and Obon (mid-August). Explain that travel and accommodation become expensive and crowded, and offer tips for students."
earthquake-prep,Safety,Earthquake & Typhoon Preparedness for Students,What to have in your emergency kit and where to go.,"Create a simple safety guide for international students on preparing for earthquakes and typhoons. List essential items for an emergency kit (water, flashlight, portable charger) and explain how to check for evacuation shelter information from the local ward office."
part-time-tax,Part-time,Taxes and the '1.03 Million Yen Wall',Understanding income tax for your part-time job.,"Explain the basics of income tax for students with part-time jobs. Detail the '1.03 million yen wall', the annual income threshold below which you don't have to pay income tax. Explain the concept of 'gensen-choshu' (withholding tax)."
vocational-school-deepdive,Career,What Can You Study at a 'Senmon Gakko'?,"Exploring vocational schools for fields like anime, cooking, and IT.","Provide a deep dive into Japanese vocational schools ('senmon gakko'). List popular fields of study like anime/manga, culinary arts, IT, translation, and hospitality. Explain the typical 2-year duration and the focus on practical skills for employment."
finding-apts-online,Housing,Top Websites for Finding Apartments in Japan,"How to use SUUMO, Homes, and Apaman Shop.","Introduce the top real estate websites in Japan like SUUMO, Lifull HOME'S, and Apaman Shop. Provide a glossary of key Japanese real estate terms found on these sites (e.g., '1K', 'manshon', 'apaato', 'toshikin')."
school-festivals,Culture,'Bunkasai': A Guide to Japanese School Festivals,What they are and why you should visit one.,"Explain what a 'bunkasai' (school culture festival) is. Describe the typical activities like food stalls, student performances, and haunted houses. Encourage students to visit festivals at famous universities for a fun and cheap cultural experience."
izakaya-etiquette,Culture,How to Navigate an 'Izakaya' (Japanese Pub),From 'otoshi' to 'nomihodai': a student's guide.,"Provide a simple guide to etiquette at an 'izakaya'. Explain concepts like 'otoshi' (compulsory appetizer), 'nomihodai' (all-you-can-drink), and how to order and pay in a group."
karaoke-guide,Culture,A Beginner's Guide to Karaoke in Japan,How to use the machines and understand the pricing.,"Explain how to go to karaoke in Japan. Detail the differences in pricing systems (per person vs. per room, weekday vs. weekend) and the concept of 'free time'. Give a basic walkthrough of how to use the karaoke remote (denmoku)."
onsen-etiquette,Culture,Onsen 101: How to Bathe in a Japanese Hot Spring,A step-by-step guide to onsen etiquette.,"Provide a beginner-friendly, step-by-step guide to using a Japanese 'onsen' (hot spring). Explain the rules: washing before entering the bath, not bringing towels into the water, and the general separation of genders."
shrine-temple-etiquette,Culture,Visiting Shrines & Temples: A Simple Guide,The difference between a 'jinja' and 'tera' and how to pray.,"Explain the basic difference between a Shinto shrine ('jinja') and a Buddhist temple ('tera'). Provide a simple guide to visiting a shrine: bowing at the torii gate, purifying hands and mouth at the 'chozuya', and the 'two bows, two claps, one bow' prayer method."
university-clubs,Culture,'Circle' Activities: Joining University Clubs,How to find and join student clubs in Japan.,"Explain the concept of 'circles' (saakuru), the student-run clubs at Japanese universities. Describe the 'shinkan' (welcome period for new students) in April and how to find and join circles for sports, music, or cultural activities."
student-discounts,Budget,'Gakuwari': The Magic of Student Discounts in Japan,Where and how to use your student ID for savings.,"Explain 'gakuwari' (student discount) and how to use it. List common places where student discounts are available, such as movie theaters, museums, karaoke boxes, and some restaurants. Emphasize always carrying a student ID."
bicycle-parking,Culture,The Challenge of Bicycle Parking in Japan,Understanding paid parking lots and avoiding fines.,"Explain the rules and challenges of parking a bicycle in Japan, especially in cities. Describe how to use paid bicycle parking lots ('churinjo') near train stations and the risk of having your illegally parked bike impounded."
seasonal-foods,Culture,A Guide to Seasonal Foods in Japan,"What to eat in spring, summer, autumn, and winter.","Create a guide to enjoying seasonal foods in Japan. Use a table to list iconic foods for each season: Spring (strawberries, sakura mochi), Summer (somen, watermelon), Autumn (sanma, chestnuts), Winter (nabe, mikan)."
hanami-guide,Culture,How to Enjoy 'Hanami' (Cherry Blossom Viewing),A guide to Japan's favorite spring pastime.,"Provide a guide to 'hanami' (cherry blossom viewing). Explain the tradition of picnicking under the sakura trees. Give tips on popular viewing spots, reserving a spot, and what food and drinks to bring."
summer-festivals,Culture,'Matsuri': A Guide to Japanese Summer Festivals,From 'yukata' to 'hanabi' (fireworks).,"Explain Japanese summer festivals ('natsu matsuri'). Describe common elements like wearing 'yukata', food stalls ('yatai'), traditional games, and 'hanabi' (fireworks displays). Recommend famous festivals for students to visit."
winter-illumination,Culture,A Guide to Winter Illuminations in Japan,Where to see the most spectacular light displays.,"Write a guide to winter illuminations, a popular seasonal event in Japan. List famous spots in major cities (e.g., Tokyo Midtown, Kobe Luminarie) and provide tips on when to visit to avoid crowds."
specialized-lang-schools,Selection,"Niche Language Schools: Art, Business, or Tech Focus",Finding a school that matches your specific career goals.,"Discuss specialized Japanese language schools. Explain that some schools have a strong focus on preparing students for art universities, business school, or IT vocational schools. Advise on how to find these niche institutions."
short-term-programs,Selection,Short-Term Study in Japan (Under 3 Months),What you can learn and experience on a tourist visa.,Provide a guide for short-term study programs (1-3 months) that can be taken on a tourist visa. Explain the pros (less paperwork) and cons (no part-time work) and what kind of curriculum to expect.
application-deadlines,Visa,Language School Application Deadlines Explained,"Planning your application for April, July, October, or January intake.","Explain the typical application deadlines for the main language school intakes (April, July, October, January). Create a timeline table showing the document preparation period, COE application period, and visa application period for each intake."
financial-sponsor,Visa,Proving Financial Stability for Your Student Visa,Who can be your sponsor and what documents are needed.,"Detail the financial proof requirements for a Japanese student visa. Explain who can be a financial sponsor (usually parents) and list the required documents: bank balance certificate, certificate of employment, and income statement."
part-time-restrictions,Part-time,Jobs You CAN'T Do on a Student Visa,Understanding the restrictions on part-time work.,"Clarify the types of employment that are prohibited for students on a visa. Explain that work in adult entertainment venues (bars, pachinko parlors, etc.) is strictly forbidden and can lead to visa cancellation."
residence-card,Settlement,Your 'Zairyu Card' (Residence Card): A Guide,Why it's your most important ID in Japan.,Explain the importance of the 'Zairyu Card' (Residence Card). Detail the information it contains and emphasize the legal requirement to carry it at all times. Explain how to report a change of address.
hanko-guide,Settlement,'Hanko' (Personal Seal): Do I Really Need One?,A guide to getting and registering a personal seal.,"Explain what a 'hanko' (personal seal) is and its role in Japanese society. Discuss whether a foreign student really needs one, for what purposes (opening a bank account, signing contracts), and where to get a cheap one made."
train-etiquette,Culture,Japanese Train Etiquette: 10 Things Not to Do,From phone calls to eating on the train.,"List 10 key etiquette rules for riding trains in Japan. Include 'no talking on the phone', 'setting your phone to silent mode', 'lining up on the platform', and 'avoiding eating or drinking on commuter trains'."
gift-giving-culture,Culture,'Omiyage': The Culture of Gift-Giving in Japan,Understanding the importance of souvenir gifts.,Explain the concept of 'omiyage' (souvenir gifts) in Japanese culture. Advise students on the social expectation of bringing back small gifts for friends or colleagues after traveling.
earthquake-apps,Safety,Essential Apps for Earthquake & Tsunami Alerts,Stay informed with apps like Yurekuru Call and Safety Tips.,Recommend essential smartphone apps for disaster preparedness in Japan. Introduce 'Yurekuru Call' for early earthquake warnings and the 'Safety tips' app by the Japan Tourism Agency for multi-language disaster information.
typhoon-prep,Safety,How to Prepare for a Typhoon in Japan,"What to do before, during, and after the storm.","Provide a simple guide on how to prepare for a typhoon. Advise students to stay indoors, secure loose items on balconies, stock up on food and water, and charge their devices."
finding-a-clinic,Health,Finding English-Speaking Doctors & Clinics,How to search for medical services in your language.,Provide resources for finding English-speaking doctors or clinics in major cities. Recommend websites like the Himawari Tokyo Metropolitan Medical Information service and explain how to use them.
prescription-meds,Health,Bringing or Getting Prescription Medicine in Japan,Understanding the rules for personal medication.,Explain the regulations for bringing personal prescription medication into Japan. Detail the 'Yakkan Shomei' (medication import certificate) and the general 1-month supply rule. Advise on how to get a prescription from a Japanese doctor.
mental-health-support,Health,Mental Health Resources for Students in Japan,Where to find counseling and support services.,Provide information on mental health support for international students. List resources like university counseling centers and TELL (Tokyo English Life Line) for confidential support in English.
budget-apps,Budget,Top 3 Budgeting Apps for Life in Japan,Tracking your expenses with Japanese apps.,Recommend budgeting apps that work well in Japan. Introduce apps like 'Money Forward ME' or 'Zaim' that can link with Japanese bank accounts and help students track their spending.
point-cards,Budget,'Pointo Kādo': Japan's Loyalty Card Culture,"How to save money with T-Point, Ponta, and Rakuten Points.","Explain the culture of 'point cards' in Japan. Introduce the major point systems (T-Point, Ponta, Rakuten Point, d Point) and explain where they can be used and how they help save money."
tax-free-shopping,Budget,Tax-Free Shopping for Temporary Visitors,How friends and family can shop tax-free when visiting you.,Explain the tax-free shopping system for tourists. Advise students on how their visiting family and friends (on temporary visitor visas) can take advantage of it. Clarify that students themselves are not eligible.
used-bookstores,Budget,Saving on Textbooks: A Guide to Used Bookstores,Finding cheap books at Book Off and other stores.,Provide a guide to buying used textbooks and books in Japan. Recommend major second-hand bookstore chains like Book Off and explain how students can save money on academic materials.
internet-cafes,Culture,'Net Cafe' & 'Manga Kissa': More Than Just Internet,A guide to Japan's 24-hour havens.,"Explain what an 'internet cafe' or 'manga kissa' is in Japan. Describe the private booths, drink bars, manga libraries, and shower facilities. Mention them as a cheap alternative for a short overnight stay."
gacha-culture,Culture,'Gachapon': The Joy of Capsule Toys,A look into one of Japan's fun and quirky hobbies.,"Explain the culture of 'gachapon' (capsule toy vending machines). Describe the variety of toys available, the price range, and where to find large 'gachapon' sections, like in Akihabara or Shinjuku."
purikura-guide,Culture,A Guide to 'Purikura' (Japanese Photo Booths),How to take and decorate fun sticker photos.,"Provide a simple, fun guide to using a 'purikura' photo booth. Explain the process of taking photos, decorating them with digital stamps and text, and receiving the printed sticker sheet."
japanese-slang,Culture,Useful Japanese Slang for Students,From 'yabai' to 'sore na': sounding like a native.,"Introduce some common and useful Japanese slang words that students will hear. Explain the meaning and usage of words like 'yabai', 'maji de', 'sore na', and 'keigo' (polite language)."
part-time-interview,Part-time,Passing Your Part-Time Job Interview in Japan,Common questions and expected answers.,"Provide tips for a part-time job interview in Japan. List common questions like 'Why do you want to work here?' and 'When can you work?'. Suggest simple, polite answers in Japanese."
resigning-etiquette,Part-time,How to Quit Your Part-Time Job Politely in Japan,The proper way to give notice to your 'tencho'.,Explain the correct etiquette for resigning from a part-time job in Japan. Advise on giving at least two weeks' notice to the store manager ('tencho') and provide a simple Japanese phrase for resigning.
university-application-docs,Exam,Documents for University Application in Japan,Preparing your high school transcripts and recommendation letters.,"List the common documents required when applying to a Japanese university as a foreign student. Include high school graduation certificate, academic transcripts, letters of recommendation, and a personal statement or essay."
senmon-vs-daigaku,Career,Vocational School vs. University: Which is Right for Me?,A deep comparison for career-focused students.,"Create a detailed comparison table for 'senmon gakko' (vocational school) and 'daigaku' (university). Compare them on: Duration, Goal (Skills vs. Academics), Tuition, and Post-Graduation Job Prospects."
finding-internships,Career,Finding Internships in Japan as a Student,Resources and tips for gaining work experience.,Provide a guide on how to find internships in Japan as an international student. Recommend platforms like Wantedly and explain the difference between paid and unpaid internships. Emphasize the importance of Japanese language skills.
networking-events,Career,'Gousetsu': Attending Job Fairs in Japan,How to navigate large-scale recruitment events.,"Explain what 'godo setsumeikai' ('gousetsu') are – large, multi-company job fairs. Give tips for students on what to wear, what to bring (resumes), and how to effectively talk to recruiters at these events."
thrift-stores-furniture,Housing,Furnishing for Less: Using Second-hand Shops,How to find furniture and appliances at Off-House and local recycle shops.,"Explain how to use Japanese second-hand shops like Off-House, Hard-Off, and local 'Recycle Shops' to furnish a student room on a budget. Mention delivery options and what to check for quality."
jp-bank-atm-fees,Settlement,Understanding Japanese ATM Fees & Operating Hours,Why ATMs charge fees at night and how to avoid them.,Explain the complex ATM fee system in Japan. Discuss why fees change based on time/day (weekends/holidays) and which bank cards offer the most free withdrawals for students.
soft-bank-air-vs-fiber,Settlement,Home Internet: SoftBank Air vs. Fiber Optic,Pros and cons of 'no-construction' Wi-Fi vs high-speed fiber.,"Compare 'no-construction' home Wi-Fi (like SoftBank Air) with traditional fiber-optic internet (Hikari). Discuss installation wait times, speed stability, and contract lengths for students."
mercari-guide-students,Budget,Buying and Selling on Mercari Japan,How to save money by using Japan's biggest C2C marketplace.,"Write a beginner's guide to using Mercari in Japan for students. Cover how to set up an account, how to find cheap textbooks/clothes, and the etiquette of shipping and rating."
nha-subsidy-housing,Housing,Municipal Housing (Shiei Jutaku) for Foreigners,A hidden way to find ultra-cheap rent through local governments.,"Explain the possibility of international students applying for municipal or prefectural housing (Shiei/Ken-ei Jutaku). Discuss the requirements, the lottery system, and the pros/cons of older buildings."
bicycle-insurance-law,Safety,Mandatory Bicycle Insurance in Japan,Understanding the legal requirement to have liability insurance.,"Explain the laws regarding mandatory bicycle insurance in many Japanese prefectures. Discuss where to buy it (convenience stores, bike shops) and what 'TS Mark' means."
emergency-numbers-jp,Safety,"Emergency Contacts: 110, 119, and Beyond",How to call police or ambulance and what to say in Japanese.,"Create a guide for calling emergency services (110 for police, 119 for fire/ambulance). Provide a script in Japanese for reporting an accident, injury, or fire for non-native speakers."
female-safety-tips,Safety,Safety Guide for Female Students in Japan,Advice on 'Chikan' prevention and choosing safe neighborhoods.,"Provide practical safety advice for female international students. Discuss choosing apartments with auto-locks, identifying safe walking routes at night, and how to report harassment or 'Chikan'."
student-travel-willerexpress,Travel,Budget Travel with Willer Express Highway Buses,Exploring Japan using overnight bus passes.,"Explain how to use Willer Express and other highway bus services for cheap long-distance travel. Mention the 'Japan Bus Pass', the different seat types, and the convenience of overnight travel."
seishun-18-kippu,Travel,The Seishun 18 Kippu: Unlimited Train Travel,How to travel across Japan for 2400 yen per day.,"Explain the Seishun 18 Kippu seasonal pass. Detail how it works (local/rapid trains only), the price, the periods of validity, and share a 3-day sample itinerary from Tokyo to Kyoto."
capsule-hotels-etiquette,Travel,A Student's Guide to Capsule Hotels,How to stay in Japan's unique budget accommodation safely.,"Write a guide on staying in capsule hotels. Explain the check-in process, lockers, shared bathing etiquette, and why they are great for short budget trips."
cheap-phone-accessories,Budget,Where to Buy Phone Accessories: Daiso vs. Akihabara,"Finding cables, cases, and chargers without overpaying.","Compare buying smartphone accessories at 100-yen stores, electronics giants like Yodobashi Camera, and small shops in Akihabara. Give advice on quality vs. price."
supermarket-point-cards,Budget,Must-have Supermarket Point Cards,"Maximizing rewards at Aeon, Ito-Yokado, and Life.","Detail the best supermarket point cards for students (WAON, Nanaco, LaCuCa). Explain how to earn double points on special days and how to use the points for future groceries."
nichi-getsu-discount,Budget,Understanding Weekly Discount Cycles at Supermarkets,"When are meats, veggies, and milk cheapest?","Explain the weekly cycle of Japanese supermarkets. Discuss typical 'Sales Days' (e.g., Sunday morning markets) and how to time grocery shopping to save 20-30% on fresh produce."
halal-food-japan,Culture,Finding Halal Food and Mosques in Japan,A resource guide for Muslim international students.,"Provide a guide for Muslim students living in Japan. Mention Gyomu Super's halal products, how to identify halal-certified restaurants, and how to find local mosques in major cities."
vegetarian-vegan-tips,Culture,Surviving Japan as a Vegetarian or Vegan,How to communicate your dietary needs and find ingredients.,"Offer advice for vegetarians and vegans in Japan. Explain 'Dashi' (fish stock) challenges, useful phrases for ordering at restaurants, and recommended apps like HappyCow."
gym-memberships-japan,Health,Affordable Gyms: ChocoZAP vs. Municipal Centers,How to stay fit without expensive monthly contracts.,"Compare different gym options for students. Discuss high-end gyms, 24/7 self-gyms like ChocoZAP, and the very cheap municipal sports centers ('Taiikukan') run by ward offices."
winter-room-heating,Housing,Heating Your Room in Winter: AC vs. Kerosene,Tips to stay warm and manage high electricity bills.,"Explain the different ways to heat a room in Japan (Air Conditioner, Ceramic Heaters, Kotatsu, Kerosene stoves). Discuss the safety of kerosene heaters and the cost-efficiency of each method."
humidity-mold-prevention,Housing,Preventing Mold: The Humidity Challenge in Japan,How to manage rainy season and damp apartments.,"Write a guide on preventing mold in Japanese apartments. Explain the use of dehumidifiers, 'damp-rid' boxes (Mizu-tori-zousan), and the importance of ventilation during the rainy season."
post-office-shipping,Settlement,How to Ship Packages at Japan Post,"Sending gifts home using EMS, SAL, or Surface mail.","Step-by-step guide on how to ship items internationally from a Japanese post office. Compare EMS (fast), Airmail, and Surface (sea) mail in terms of price and speed."
